path,phase,TOE_conf,HOSEL_conf,GRIP_conf
sony_white_0006_0543,train,0.9986779,0.9996592,0.99936706
red_0008_0364,train,0.99983084,0.99996257,0.9995521
sasaki_green_1_0070,train,0.99964917,0.9998404,0.9999776
white_0008_0000,train,0.99995005,0.99999094,0.9999021
sony_red_0015_0436,train,0.9998204,0.99995124,0.9996518
sony_red_0017_0609,train,0.9998815,0.99997294,0.9997974
sony_red_0616_0002_0397,train,0.999846,0.999951,0.9997576
white_0006_0692,train,0.9984151,0.99945074,0.99970263
ebihara_green_1_0189,train,0.99801,0.999345,0.9996723
green_0008_0517,train,0.99937975,0.9998903,0.9997712
sawada_green_2_0130,train,0.99965215,0.9999083,0.99959785
green_0008_0480,train,0.99981207,0.9999534,0.9998647
sony_red_0010_0149,train,0.9998523,0.9999503,0.99948263
red_0712_0036_32,train,0.99987924,0.9999653,0.99973077
uratani_red_3_0287,train,0.99972004,0.9999527,0.9998673
red_0712_0036_89,train,0.9995931,0.9999006,0.99970657
green_0008_0557,train,0.99657506,0.9987972,0.9997111
green_0006_0485,train,0.9986779,0.9997309,0.99928385
sasaki_green_1_0110,train,0.99968004,0.9998599,0.9975974
sony_white_0006_0454,train,0.99997187,0.9999943,0.9999436
red_0006_0577,train,0.99900997,0.9997342,0.99902594
kitano_red_2_0190,train,0.9998211,0.99994993,0.9998455
green_0014_0144,train,0.99992585,0.99998283,0.9996896
ebihara_0712_4408_107,train,0.9997981,0.99994445,0.9996307
ebihara_0712_4408_62,train,0.9998565,0.99995816,0.99961424
uratani_red_3_0296,train,0.99988055,0.9999689,0.99983656
ebihara_0712_4409_119,train,0.99986553,0.9998909,0.99917537
sony_white_0006_0449,train,0.9999387,0.9999876,0.99991095
uratani_green_3_0200,train,0.9992674,0.9997478,0.9995858
kitano_green_2_0126,train,0.99951684,0.9998323,0.9979583
ebihara_0712_4409_41,train,0.99969804,0.99991655,0.99969566
green_0008_0513,train,0.999067,0.9998135,0.99956506
ebihara_red_1_0088,train,0.99992716,0.9999913,0.99995995
ebihara_green_1_0132,train,0.99925977,0.99973196,0.9995883
white_0014_0132,train,0.9977933,0.9996375,0.9995447
sony_red_0016_0654,train,0.99993014,0.9999753,0.9995308
sony_red_0616_0002_0510,train,0.999856,0.9999678,0.9996369
red_0712_0036_120,train,0.99894637,0.99967074,0.999607
green_0014_0250,train,0.99991095,0.9999832,0.9996965
white_0006_0679,train,0.99428815,0.9989951,0.99990356
green_0014_0419,train,0.9998561,0.9999839,0.99995875
ebihara_0712_4408_73,train,0.99996436,0.9999738,0.99993455
green_0006_0501,train,0.9971566,0.9984694,0.9973404
sony_white_0006_0393,train,0.9991949,0.9997825,0.99990714
white_0008_0544,train,0.9999118,0.9999788,0.9998915
kitano_green_2_0109,train,0.9996816,0.99989736,0.99958676
white_0006_0678,train,0.9996662,0.9999211,0.9999485
red_0006_0640,train,0.9998215,0.9999678,0.999716
red_0712_0036_97,train,0.9986999,0.99939466,0.99957246
kitano_green_2_0055,train,0.99986696,0.99998105,0.9999286
white_0006_0677,train,0.9992029,0.99983513,0.99988306
ebihara_0712_4408_33,train,0.99985135,0.99995244,0.9995726
red_0712_0036_26,train,0.99987125,0.99998367,0.9999356
red_0712_0036_10,train,0.9993895,0.9997564,0.99864453
ebihara_0712_4408_63,train,0.9999136,0.9999776,0.99984765
sawada_red_2_0216,train,0.9995307,0.9996443,0.99961156
kitano_green_2_0132,train,0.99920976,0.9997116,0.9995572
red_0712_0036_30,train,0.9998017,0.99994814,0.99954575
green_0006_0515,train,0.99617153,0.99864775,0.99920243
green_0006_0462,train,0.99922276,0.99973494,0.99857795
green_0006_0675,train,0.99847394,0.9996412,0.9999391
ebihara_0712_4409_79,train,0.9991936,0.9997044,0.9994849
white_0014_0149,train,0.999443,0.99989045,0.9995515
white_0008_0395,train,0.9998424,0.99993837,0.9996933
sasaki_red_1_0121,train,0.999752,0.99992645,0.99960905
sony_white_0006_0495,train,0.9990042,0.9996246,0.99981934
sasaki_red_1_0172,train,0.9990688,0.9997564,0.99864346
