video,frame,toe_error,toe_miss,toe_miss_rate,hosel_error,hosel_miss,hosel_miss_rate,grip_error,grip_miss,grip_miss_rate
sony_white_0006,123,1.8747431102811414,4,0.032520325203252036,1.8804729997545924,4,0.032520325203252036,1.6225977270953769,4,0.032520325203252036
red_0008,56,2.6918131304455883,0,0.0,2.649469623882708,0,0.0,2.0057610394615475,0,0.0
sasaki_green_1,60,1.8951237773371787,0,0.0,2.287045928642314,0,0.0,1.800686394123859,0,0.0
white_0008,72,2.7040075148522584,1,0.013888888888888888,2.938290817755118,1,0.013888888888888888,2.0403701004039014,1,0.013888888888888888
sony_red_0015,24,1.7257614858534278,1,0.041666666666666664,1.8347009086404038,1,0.041666666666666664,1.459978965748551,1,0.041666666666666664
sony_red_0017,20,1.9399992970492441,1,0.05,2.0754309994191518,1,0.05,1.9379471623534745,1,0.05
sony_red_0616_0002,33,1.9141294734694172,0,0.0,2.1980857147215622,0,0.0,1.7515243322241612,0,0.0
white_0006,84,2.331991819590723,1,0.011904761904761904,2.6942284257031317,1,0.011904761904761904,1.858375918461484,1,0.011904761904761904
ebihara_green_1,50,2.892563347970147,0,0.0,2.7513462386307608,0,0.0,1.9365450489271183,0,0.0
green_0008,63,2.8761563323029917,1,0.015873015873015872,2.881367764237216,1,0.015873015873015872,2.2306837900101395,1,0.015873015873015872
sawada_green_2,51,2.347943119633009,0,0.0,2.6845559456473196,0,0.0,1.9272721761118428,0,0.0
sony_red_0010,12,1.7547340651014516,0,0.0,2.200317758273079,0,0.0,1.4045369571957833,0,0.0
red_0712_0036,132,1.5295414909515368,0,0.0,1.7457764108831844,0,0.0,1.4212747120150437,0,0.0
uratani_red_3,53,2.140760516034577,0,0.0,2.6109621447532354,0,0.0,1.864190774922734,0,0.0
green_0006,92,2.440906952366876,1,0.010869565217391304,2.7247393264156794,1,0.010869565217391304,2.2490895836089018,1,0.010869565217391304
red_0006,82,2.7345236700379463,1,0.012195121951219513,2.529781295406902,1,0.012195121951219513,1.8465001239695005,1,0.012195121951219513
kitano_red_2,57,2.0978174056160963,0,0.0,2.3409120461308275,0,0.0,1.7121129504809627,0,0.0
green_0014,54,3.414629502928843,0,0.0,3.226275787581473,0,0.0,2.1157046078373183,0,0.0
ebihara_0712_4408,122,1.7425817906171346,0,0.0,1.6294496076001888,0,0.0,1.4426200216445764,0,0.0
ebihara_0712_4409,136,1.6430356247479887,0,0.0,1.7062717075088802,0,0.0,1.4296083430618376,0,0.0
uratani_green_3,53,2.24637370256502,0,0.0,2.4563124015713274,0,0.0,1.8628476440557036,0,0.0
kitano_green_2,49,2.4310913415355535,0,0.0,2.3092711564067185,0,0.0,1.8300771290922597,0,0.0
ebihara_red_1,45,2.2620333141939004,0,0.0,2.619876315208042,0,0.0,1.8820135673656,0,0.0
white_0014,44,3.21825079706547,0,0.0,2.9420221623119436,0,0.0,2.2267432205130357,0,0.0
sony_red_0016,18,2.1869501348862133,0,0.0,2.023953791561424,0,0.0,2.114588187604631,0,0.0
sawada_red_2,54,2.0921769805365935,1,0.018518518518518517,2.465489225036223,1,0.018518518518518517,1.754446424182841,1,0.018518518518518517
sasaki_red_1,51,2.1774889670551616,0,0.0,2.347424185288471,0,0.0,1.6581070025093885,0,0.0
sony_red_0019,20,1.624739988558704,0,0.0,1.8503845267091024,0,0.0,1.705587764614411,0,0.0
sony_red_0008,12,2.544064530847709,0,0.0,2.1805289265595555,0,0.0,1.2104106885446269,0,0.0
sony_red_0014,27,1.430995344600358,1,0.037037037037037035,2.013790752916822,1,0.037037037037037035,1.4476554741403054,1,0.037037037037037035
sony_green_0616_0006,21,1.563558085364465,0,0.0,1.7121969300954125,0,0.0,1.126189941114595,0,0.0
sony_white_0005,27,1.7725512536455599,1,0.037037037037037035,1.8368396854009488,1,0.037037037037037035,1.4578496007075084,1,0.037037037037037035
sony_red_0009,12,1.8885388908833605,0,0.0,1.8865999869146124,0,0.0,1.2114027573983424,0,0.0
