path,phase,TOE_x,TOE_y,HOSEL_x,HOSEL_y,GRIP_x,GRIP_y
sony_white_0006_0543,train,0.172222,0.320833,0.19537,0.304167,0.438889,0.344271
red_0008_0364,train,0.848958,0.387037,0.85,0.425926,0.733333,0.557407
sasaki_green_1_0070,train,0.558333,0.343519,0.546875,0.335185,0.535417,0.412037
white_0008_0000,train,0.388542,0.892593,0.408854,0.896296,0.523438,0.624074
sony_red_0015_0436,train,0.97037,0.479167,0.947222,0.496875,0.664815,0.478125
sony_red_0017_0609,train,0.296296,0.635417,0.328704,0.64375,0.508333,0.524479
sony_red_0616_0002_0397,train,0.472222,0.324479,0.44537,0.329167,0.375,0.417187
white_0006_0692,train,0.65,0.141667,0.664583,0.163889,0.638021,0.324074
ebihara_green_1_0189,train,0.713021,0.656481,0.711979,0.623148,0.6,0.415741
green_0008_0517,train,0.360938,0.264815,0.373437,0.244444,0.55,0.296296
sawada_green_2_0130,train,0.409896,0.121296,0.397396,0.138889,0.435937,0.409259
green_0008_0480,train,0.729167,0.878704,0.711979,0.866667,0.603125,0.600926
sony_red_0010_0149,train,0.358333,0.656771,0.375,0.644792,0.460185,0.495833
red_0712_0036_32,train,0.282407,0.340104,0.268519,0.353646,0.34537,0.454688
uratani_red_3_0287,train,0.260417,0.659259,0.282813,0.678704,0.414062,0.609259
red_0712_0036_89,train,0.232407,0.352083,0.25463,0.342708,0.47037,0.395313
green_0008_0557,train,0.5875,0.564815,0.579167,0.523148,0.494271,0.337037
green_0006_0485,train,0.358333,0.413889,0.364063,0.375,0.503125,0.275
sasaki_green_1_0110,train,0.643229,0.571296,0.633333,0.585185,0.603125,0.560185
sony_white_0006_0454,train,0.083333,0.421354,0.086111,0.441667,0.361111,0.482812
red_0006_0577,train,0.676562,0.443519,0.702083,0.416667,0.804688,0.337963
kitano_red_2_0190,train,0.644271,0.651852,0.632292,0.648148,0.558854,0.44537
green_0014_0144,train,0.429688,0.862963,0.446354,0.873148,0.560937,0.697222
ebihara_0712_4408_107,train,0.244444,0.353646,0.239815,0.366667,0.296296,0.459896
ebihara_0712_4408_62,train,0.152778,0.465625,0.156481,0.477083,0.289815,0.499479
uratani_red_3_0296,train,0.639583,0.741667,0.623958,0.749074,0.520312,0.606481
ebihara_0712_4409_119,train,0.275926,0.592708,0.27963,0.601042,0.324074,0.548438
sony_white_0006_0449,train,0.167593,0.346875,0.152778,0.365625,0.327778,0.456771
uratani_green_3_0200,train,0.470833,0.147222,0.461979,0.144444,0.451562,0.323148
kitano_green_2_0126,train,0.441667,0.263889,0.452604,0.276852,0.521354,0.434259
ebihara_0712_4409_41,train,0.65,0.607292,0.628704,0.614062,0.447222,0.548438
green_0008_0513,train,0.395833,0.225,0.4125,0.203704,0.564583,0.306481
ebihara_red_1_0088,train,0.286979,0.334259,0.291146,0.367593,0.420833,0.521296
ebihara_green_1_0132,train,0.595313,0.277778,0.603125,0.262037,0.638021,0.473148
white_0014_0132,train,0.967708,0.082407,0.958854,0.149074,0.707812,0.373148
sony_red_0016_0654,train,0.690741,0.6125,0.669444,0.6125,0.567593,0.518229
sony_red_0616_0002_0510,train,0.226852,0.571875,0.25463,0.582812,0.493519,0.526563
red_0712_0036_120,train,0.463889,0.288021,0.487963,0.293229,0.543519,0.41875
green_0014_0250,train,0.359375,0.885185,0.378646,0.891667,0.533333,0.641667
white_0006_0679,train,0.826562,0.386111,0.8125,0.439815,0.608333,0.506481
green_0014_0419,train,0.360938,0.381481,0.379167,0.437037,0.568229,0.508333
ebihara_0712_4408_73,train,0.262963,0.327604,0.240741,0.339583,0.285185,0.426042
green_0006_0501,train,0.48125,0.49537,0.470313,0.450926,0.484375,0.283333
sony_white_0006_0393,train,0.650926,0.306771,0.632407,0.297396,0.390741,0.371875
white_0008_0544,train,0.367188,0.498148,0.384896,0.523148,0.493229,0.544444
kitano_green_2_0109,train,0.633333,0.785185,0.61875,0.782407,0.568229,0.62037
white_0006_0678,train,0.818229,0.44537,0.799479,0.49537,0.602083,0.521296
red_0006_0640,train,0.503125,0.801852,0.535417,0.818519,0.684896,0.640741
red_0712_0036_97,train,0.540741,0.456771,0.537963,0.438021,0.446296,0.392708
kitano_green_2_0055,train,0.383854,0.299074,0.390104,0.330556,0.503125,0.484259
white_0006_0677,train,0.801042,0.508333,0.779167,0.549074,0.596354,0.533333
ebihara_0712_4408_33,train,0.530556,0.426042,0.518519,0.441667,0.471296,0.518229
red_0712_0036_26,train,0.127778,0.409896,0.134259,0.427604,0.37037,0.5
red_0712_0036_10,train,0.521296,0.651042,0.508333,0.646875,0.505556,0.548958
ebihara_0712_4408_63,train,0.130556,0.447396,0.124074,0.457813,0.286111,0.492708
sawada_red_2_0216,train,0.485938,0.319444,0.4875,0.348148,0.479687,0.480556
kitano_green_2_0132,train,0.436458,0.238889,0.446875,0.244444,0.50625,0.387037
red_0712_0036_30,train,0.22037,0.351562,0.211111,0.368229,0.346296,0.46875
green_0006_0515,train,0.569271,0.50463,0.553646,0.467593,0.485938,0.293519
green_0006_0462,train,0.486979,0.197222,0.507812,0.209259,0.592187,0.356481
green_0006_0675,train,0.592187,0.000926,0.611979,0.025,0.601562,0.352778
ebihara_0712_4409_79,train,0.544444,0.535937,0.556481,0.524479,0.441667,0.446875
white_0014_0149,train,0.442708,0.273148,0.451562,0.237037,0.622396,0.223148
white_0008_0395,train,0.496354,0.244444,0.494271,0.278704,0.479687,0.436111
sasaki_red_1_0121,train,0.502604,0.066667,0.485417,0.086111,0.5,0.302778
sony_white_0006_0495,train,0.650926,0.302083,0.691667,0.310417,0.634259,0.388021
sasaki_red_1_0172,train,0.486458,0.369444,0.478125,0.343519,0.579167,0.237037
sawada_red_2_0332,train,0.617188,0.532407,0.610417,0.561111,0.501563,0.600926
red_0712_0036_23,train,0.134259,0.477083,0.150926,0.494792,0.402778,0.520312
ebihara_red_1_0203,train,0.645312,0.933333,0.643229,0.92037,0.598958,0.656481
red_0712_0036_118,train,0.407407,0.309896,0.434259,0.311458,0.528704,0.4125
sony_white_0006_0468,train,0.523148,0.6625,0.531481,0.654167,0.527778,0.514583
ebihara_0712_4409_57,train,0.437963,0.360417,0.408333,0.365104,0.346296,0.43125
sony_red_0019_0359,train,0.088889,0.529167,0.112037,0.548438,0.398148,0.507812
white_0014_0146,train,0.503125,0.196296,0.5125,0.169444,0.635938,0.214815
green_0014_0210,train,0.522396,0.212963,0.548958,0.180556,0.667708,0.339815
sony_red_0616_0002_0431,train,0.764815,0.3875,0.743519,0.375521,0.493519,0.391146
kitano_red_2_0162,train,0.607812,0.17963,0.59375,0.162963,0.488021,0.219444
red_0712_0036_57,train,0.296296,0.377083,0.284259,0.389583,0.387037,0.472917
ebihara_0712_4408_27,train,0.662963,0.528646,0.65,0.547396,0.475,0.543229
sony_red_0008_0242,train,0.414815,0.6625,0.425926,0.650521,0.485185,0.500521
ebihara_red_1_0198,train,0.380729,0.689815,0.401562,0.718519,0.547917,0.648148
green_0006_0429,train,0.278646,0.662963,0.302083,0.689815,0.492188,0.596296
white_0006_0686,train,0.769792,0.161111,0.771875,0.201852,0.639062,0.405556
uratani_red_3_0320,train,0.310417,0.469444,0.314583,0.437963,0.432292,0.385185
sawada_green_2_0202,train,0.627604,0.689815,0.613542,0.698148,0.532292,0.607407
sasaki_green_1_0099,train,0.643229,0.752778,0.647917,0.741667,0.614062,0.625
sasaki_red_1_0135,train,0.441146,0.582407,0.458854,0.596296,0.573958,0.457407
ebihara_0712_4409_117,train,0.235185,0.582812,0.244444,0.590625,0.312037,0.541667
green_0008_0576,train,0.646354,0.532407,0.638542,0.49537,0.496875,0.350926
sony_red_0014_0441,train,0.082407,0.538542,0.125,0.553125,0.4,0.5125
white_0014_0111,train,0.670833,0.225,0.664062,0.24537,0.545312,0.455556
uratani_red_3_0147,train,0.219271,0.59537,0.230208,0.615741,0.369792,0.562963
red_0008_0352,train,0.79375,0.476852,0.790104,0.509259,0.719271,0.587037
sony_white_0006_0677,train,0.25463,0.347396,0.27037,0.339583,0.499074,0.4
ebihara_0712_4408_98,train,0.484259,0.360417,0.459259,0.354687,0.305556,0.440104
sony_red_0010_0154,train,0.919444,0.498437,0.891667,0.511458,0.590741,0.459896
ebihara_0712_4408_40,train,0.274074,0.4125,0.263889,0.410938,0.366667,0.440625
white_0014_0162,train,0.407813,0.461111,0.408854,0.412037,0.580208,0.258333
sony_white_0006_0491,train,0.746296,0.330208,0.762963,0.346875,0.653704,0.411979
sony_red_0017_0614,train,0.618519,0.665104,0.616667,0.654167,0.572222,0.523438
white_0008_0557,train,0.504687,0.898148,0.514062,0.897222,0.565625,0.582407
sony_white_0006_0474,train,0.852778,0.595313,0.825926,0.606771,0.594444,0.508854
sony_green_0616_0006_0311,train,0.665741,0.330729,0.637963,0.328125,0.411111,0.386979
sony_white_0005_0644,train,0.241667,0.627083,0.296296,0.634375,0.485185,0.518229
ebihara_0712_4409_77,train,0.486111,0.525521,0.503704,0.519271,0.449074,0.454167
ebihara_0712_4409_12,train,0.612963,0.4875,0.596296,0.506771,0.480556,0.533333
white_0008_0548,train,0.329167,0.663889,0.346875,0.681481,0.508333,0.568519
green_0008_0337,train,0.482292,0.180556,0.470313,0.214815,0.448958,0.390741
green_0014_0206,train,0.575521,0.123148,0.607812,0.119444,0.676042,0.355556
ebihara_0712_4408_41,train,0.289815,0.428125,0.275926,0.424479,0.361111,0.439063
sony_white_0005_0637,train,0.080556,0.470833,0.103704,0.492188,0.40463,0.494792
sasaki_red_1_0134,train,0.418229,0.521296,0.430208,0.546296,0.5625,0.451852
ebihara_0712_4409_4,train,0.651852,0.6125,0.628704,0.619271,0.443519,0.558333
sasaki_red_1_0284,train,0.813542,0.435185,0.799479,0.461111,0.648958,0.419444
white_0006_0662,train,0.3125,0.705556,0.335938,0.725926,0.486979,0.57963
ebihara_0712_4409_122,train,0.290741,0.592708,0.292593,0.599479,0.32037,0.540104
ebihara_green_1_0213,train,0.719792,0.521296,0.725,0.498148,0.597396,0.424074
green_0006_0439,train,0.697917,0.876852,0.682813,0.868519,0.579688,0.606481
green_0006_0670,train,0.564063,0.002778,0.585938,0.022222,0.598437,0.349074
kitano_red_2_0206,train,0.490625,0.058333,0.504687,0.064815,0.573958,0.212037
sony_red_0014_0459,train,0.906481,0.506771,0.87963,0.518229,0.6,0.486458
sawada_red_2_0236,train,0.307292,0.607407,0.308333,0.587963,0.403125,0.487037
ebihara_0712_4409_133,train,0.507407,0.625,0.489815,0.627604,0.428704,0.519792
red_0008_0528,train,0.65625,0.677778,0.657813,0.699074,0.677083,0.635185
green_0008_0461,train,0.346354,0.324074,0.34375,0.362963,0.475,0.52963
green_0008_0523,train,0.336458,0.358333,0.350521,0.319444,0.526042,0.292593
red_0712_0036_59,train,0.226852,0.397917,0.224074,0.414062,0.402778,0.491146
sony_white_0005_0635,train,0.1,0.430208,0.112037,0.451562,0.375,0.4875
kitano_red_2_0141,train,0.476042,0.119444,0.463021,0.131481,0.445833,0.251852
ebihara_0712_4408_1,train,0.535185,0.620313,0.518519,0.624479,0.407407,0.553125
kitano_red_2_0221,train,0.411458,0.290741,0.413542,0.257407,0.507292,0.186111
ebihara_0712_4409_112,train,0.140741,0.526042,0.155556,0.534375,0.284259,0.521354
ebihara_0712_4409_58,train,0.47037,0.375,0.446296,0.371354,0.352778,0.432292
